/pmos/D (vsg_p=0) X,/pmos/D (vsg_p=0) Y,/pmos/D (vsg_p=0.2) X,/pmos/D (vsg_p=0.2) Y,/pmos/D (vsg_p=0.4) X,/pmos/D (vsg_p=0.4) Y,/pmos/D (vsg_p=0.8) X,/pmos/D (vsg_p=0.8) Y,/pmos/D (vsg_p=1) X,/pmos/D (vsg_p=1) Y,/pmos/D (vsg_p=0.6) X,/pmos/D (vsg_p=0.6) Y
0.6800000000000004,-3.615199109459218e-08,0.6800000000000004,-2.638440422381667e-06,0.6800000000000004,-6.827427330429168e-05,0.6800000000000004,-0.0007609142004662776,0.6800000000000004,-0.001218091142962462,0.6800000000000004,-0.0003464306326355114
0.6900000000000004,-3.73350877898349e-08,0.6900000000000004,-2.714184893828574e-06,0.6900000000000004,-6.952506019066625e-05,0.6900000000000004,-0.000766552492113451,0.6900000000000004,-0.001226097494566692,0.6900000000000004,-0.0003499306065729934
0.7000000000000004,-3.85514936878648e-08,0.7000000000000004,-2.791688014878431e-06,0.7000000000000004,-7.078752242504703e-05,0.7000000000000004,-0.0007721672176417183,0.7000000000000004,-0.001234038725106305,0.7000000000000004,-0.0003534314893310437
0.7100000000000004,-3.980208302316638e-08,0.7100000000000004,-2.870984655715986e-06,0.7100000000000004,-7.206168356503921e-05,0.7100000000000004,-0.0007777592165419776,0.7100000000000004,-0.001241917283122121,0.7100000000000004,-0.0003569334355859999
0.7200000000000004,-4.108775300114523e-08,0.7200000000000004,-2.952110284231304e-06,0.7200000000000004,-7.334756706036721e-05,0.7200000000000004,-0.0007833292927603755,0.7200000000000004,-0.001249735486650528,0.7200000000000004,-0.0003604365956427164
0.7300000000000004,-4.240942436225255e-08,0.7300000000000004,-3.035100970787449e-06,0.7300000000000004,-7.464519621193574e-05,0.7300000000000004,-0.0007888782168318658,0.7300000000000004,-0.001257495532956772,0.7300000000000004,-0.0003639411155682676
0.7400000000000004,-4.376804195848772e-08,0.7400000000000004,-3.119993392847421e-06,0.7400000000000004,-7.595459413196946e-05,0.7400000000000004,-0.0007944067278308698,0.7400000000000004,-0.001265199507301624,0.7400000000000004,-0.0003674471373154547
0.7500000000000004,-4.516457534258093e-08,0.7500000000000004,-3.206824839458138e-06,0.7500000000000004,-7.727578370530108e-05,0.7500000000000004,-0.0007999155351595444,0.7500000000000004,-0.001272849390862235,0.7500000000000004,-0.000370954798837513
0.7600000000000005,-4.660001937014543e-08,0.7600000000000005,-3.295633215588924e-06,0.7600000000000005,-7.860878755187676e-05,0.7600000000000005,-0.0008054053201913341,0.7600000000000005,-0.001280447067909857,0.7600000000000005,-0.0003744642341951785
0.7700000000000005,-4.807539481511213e-08,0.7700000000000005,-3.386457046321607e-06,0.7700000000000005,-7.995362799053125e-05,0.7700000000000005,-0.0008108767377850592,0.7700000000000005,-0.001287994332332115,0.7700000000000005,-0.0003779755736571363
0.7800000000000005,-4.959174899873991e-08,0.7800000000000005,-3.479335480888899e-06,0.7800000000000005,-8.131032700408105e-05,0.7800000000000005,-0.000816330417682575,0.7800000000000005,-0.001295492893575096,0.7800000000000005,-0.0003814889437947342
